Latitude,Longitude,Total dead+missing,Main ID,Region,Incident date,Year,Month,Dead,Missing,Total,Females,Males,Children,Country of Origin,Region of Origin,Cause of Death,Country of Incident,Migration route,Location description,Information Source,URL,Source Quality
27.995729,-16.655447,2,2025.MMP0001,Northern Africa,01/01/2025,2025,January,2,0,2,,,1,Unknown,Western Africa (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Spain,Western Africa / Atlantic route to the Canary Islands,"Off the coast of Las Galletas, Tenerife, Canary Islands, Spain","El Diario, El Debate, EuropaPress, Diario de Avisos, 112 Canarias, InfoMigrants","https://perma.cc/ZTT8-JS5L?type=standard, https://archive.ph/UzcWy, https://perma.cc/52GX-JPMZ, https://perma.cc/X9AE-JWJS, https://perma.cc/Z8DN-437D, https://perma.cc/Q46Z-Z2PX, https://archive.ph/bNj4n",5
34.732678,11.460496,28,2025.MMP0002,Mediterranean,01/01/2025,2025,January,28,,28,,,1,Unknown,Sub-Saharan Africa,Drowning,Tunisia,Central Mediterranean,"3 nautical miles from the coast of Al-Ataya on the island of Kerkennah, Tunisia","Arab News, Al Araby, France24, IOM Tunisia, General Administration of the National Guard Tunisia","https://perma.cc/DSC9-9CGR, https://perma.cc/BMR2-KL94, https://archive.ph/A7F26, https://perma.cc/Z8DN-437D",5
35.10232464,-1.870627037,4,2025.MMP0003,Mediterranean,01/01/2025,2025,January,2,2,4,,4,,Algeria,Northern Africa,Drowning,Algeria,Western Mediterranean,"Unspecifed location off Tlemcen, Algeria",Francisco Jose Clemente Martin,https://perma.cc/QPS7-QHJ8,4
27.50865957,62.843992,5,2025.MMP0008,Southern Asia,01/01/2025,2025,January,5,0,5,,,,Afghanistan,Southern Asia,Violence,Iran (Islamic Republic of),Afghanistan to Iran,"Around border area of Saravan district, Saravan, Sistan and Balochistan province, Iran",Hasht-e Subh Daily (8AM. Media),https://perma.cc/NR58-DP25,1
32.2486,-113.08326,1,2025.MMP0169,North America,01/01/2025,2025,January,1,0,1,,,,Unknown,Latin America / Caribbean (P),Mixed or unknown,United States of America,US-Mexico border crossing,"Desert area near Ajo, Pima county, Arizona, United States of America",Pima County Office of the Medical Examiner,,5
38.545452,44.9590281,1,2025.MMP0288,Southern Asia,01/01/2025,2025,January,1,0,1,,1,,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Khoy district, West Azarbaijan province, Iran",IOM Afghanistan,,4
29.0892224,50.9706116,1,2025.MMP0289,Southern Asia,01/01/2025,2025,January,1,0,1,,1,,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Bushehr County district, Bushehr province, Iran",IOM Afghanistan,,4
29.6266426,52.4465474,1,2025.MMP0290,Southern Asia,01/01/2025,2025,January,1,0,1,,1,1,Afghanistan,Southern Asia,Vehicle accident / death linked to hazardous transport,Iran (Islamic Republic of),Afghanistan to Iran,"Shiraz County district, Fars province, Iran",IOM Afghanistan,,4
29.5580389,51.7677972,1,2025.MMP0291,Southern Asia,01/01/2025,2025,January,1,0,1,,1,,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Kazerun County district, Fars province, Iran",IOM Afghanistan,,4
38.46739064,42.43177319,1,2025.MMP0052,Western Asia,01/02/2025,2025,February,1,0,1,,,,Afghanistan,Southern Asia,Vehicle accident / death linked to hazardous transport,TÃ¼rkiye,Iran to TÃ¼rkiye,"Dibekli, Tatvan, Bitlis, TÃ¼rkiye","Haberler, Tatvan Sesi","https://perma.cc/L2YZ-G3L3, https://perma.cc/G5AJ-KJ63",3
33.9910347,51.4235414,1,2025.MMP0398,Southern Asia,01/02/2025,2025,February,1,0,1,,1,,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"kashan district, Esfahan province, Iran",IOM Afghanistan,,4
35.7218583,51.3346954,1,2025.MMP0399,Southern Asia,01/02/2025,2025,February,1,0,1,,1,,Afghanistan,Southern Asia,Vehicle accident / death linked to hazardous transport,Iran (Islamic Republic of),Afghanistan to Iran,"Tehran district, Tehran province, Iran",IOM Afghanistan,,4
35.7218583,51.3346954,1,2025.MMP0400,Southern Asia,01/02/2025,2025,February,1,0,1,,1,,Afghanistan,Southern Asia,Vehicle accident / death linked to hazardous transport,Iran (Islamic Republic of),Afghanistan to Iran,"Tehran district, Tehran province, Iran",IOM Afghanistan,,4
37.7595018,45,1,2025.MMP0401,Southern Asia,01/02/2025,2025,February,1,0,1,,1,,Afghanistan,Southern Asia,Mixed or unknown,Iran (Islamic Republic of),Afghanistan to Iran,"Uromia district, West Azarbaijan province, Iran",IOM Afghanistan,,4
29.0892224,50.9706116,1,2025.MMP0402,Southern Asia,01/02/2025,2025,February,1,0,1,,1,,Afghanistan,Southern Asia,Vehicle accident / death linked to hazardous transport,Iran (Islamic Republic of),Afghanistan to Iran,"Bushehr County district, Bushehr province, Iran",IOM Afghanistan,,4
53.66255601,23.6082082,1,2025.MMP0952,Europe,01/02/2025,2025,February,1,0,1,,1,,Senegal,Western Africa,"Harsh environmental conditions / lack of adequate shelter, food, water",Poland,Belarus-EU border,"Unspecified location in no-man's land between border fences, near Hrodna, Poland",Border Death Monitoring Group,https://perma.cc/3MBT-KBHB,4
35.87080992,-5.333348689,1,2025.MMP0100,Mediterranean,01/03/2025,2025,March,1,0,1,,1,,Unknown,Northern Africa,Drowning,Spain,Western Mediterranean,"1 KM off Southern Ceuta, Spain","EFE via Infobae, Europa Sur, El Faro de Ceuta","https://archive.ph/c3ZPH, https://archive.ph/oIV9i, https://archive.ph/Pe1Qt",3
35.87080992,-5.333348689,1,2025.MMP0100,Mediterranean,01/03/2025,2025,March,,1,1,,1,,Algeria,Northern Africa,Drowning,Spain,Western Mediterranean,"Undetermined location at the Tarajal border off Ceuta, Spain","EFE via Infobae, Europa Sur, El Faro de Ceuta","https://archive.ph/c3ZPH, https://archive.ph/oIV9i, https://archive.ph/Pe1Qt",3
34.38798763,11.6357993,1,2025.MMP0109,Mediterranean,01/03/2025,2025,March,,1,1,,1,,Unknown,Unknown,Drowning,Tunisia,Central Mediterranean,"At Miskar Oil Platform, Gulf of Gabes, Tunisia","Alarm Phone, Sea Watch, SOS Humanity, FTDES and others","https://perma.cc/TS75-SBC3, https://perma.cc/5KWN-XKX7, https://perma.cc/M2LH-VTP5, https://perma.cc/Y76J-SE47",4
29.8162933,60.2110752,1,2025.MMP0512,Southern Asia,01/03/2025,2025,March,1,0,1,,1,,Afghanistan,Southern Asia,Vehicle accident / death linked to hazardous transport,Iran (Islamic Republic of),Afghanistan to Iran,"Zahedan County district, Sistan_and_Baluchestan province, Iran",IOM Afghanistan,,4
31.1769153,48.9605972,1,2025.MMP0513,Southern Asia,01/03/2025,2025,March,1,0,1,,1,,Afghanistan,Southern Asia,Violence,Iran (Islamic Republic of),Afghanistan to Iran,"Ahvaz County district, Khuzestan province, Iran",IOM Afghanistan,,4
26.7674997,54.6972774,1,2025.MMP0514,Southern Asia,01/03/2025,2025,March,1,0,1,,1,,Afghanistan,Southern Asia,Vehicle accident / death linked to hazardous transport,Iran (Islamic Republic of),Afghanistan to Iran,"Bandar-Lengeh County district, Hormozgan province, Iran",IOM Afghanistan,,4
29.6266426,52.4465474,1,2025.MMP0515,Southern Asia,01/03/2025,2025,March,1,0,1,,1,,Afghanistan,Southern Asia,Vehicle accident / death linked to hazardous transport,Iran (Islamic Republic of),Afghanistan to Iran,"Shiraz County district, Fars province, Iran",IOM Afghanistan,,4
29.6266426,52.4465474,1,2025.MMP0516,Southern Asia,01/03/2025,2025,March,1,0,1,,1,,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Shiraz County district, Fars province, Iran",IOM Afghanistan,,4
29.98132975,14.25780765,1,2025.MMP0768,Northern Africa,01/03/2025,2025,March,1,0,1,,1,,Unknown,Sub-Saharan Africa (P),Mixed or unknown,Libya,Sahara Desert crossing,"Body found in Ash Shwayrif, Libya",Displacement Tracking Matrix Libya,https://www.facebook.com/share/18XxpBUPs4/,4
24.69818756,22.48607602,2,2025.MMP0774,Northern Africa,01/04/2025,2025,April,2,0,2,,2,,Unknown,Sub-Saharan Africa (P),Vehicle accident / death linked to hazardous transport,Libya,Sahara Desert crossing,"165 KM North of Al-Kurfa, Libya",Displacement Tracking Matrix Libya,https://www.facebook.com/share/p/1HtEmbbPtQ/,4
29.6266426,52.4465474,1,2025.MMP1148,Southern Asia,01/04/2025,2025,April,1,0,1,0,1,0,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Shiraz County district, Fars province, Iran",IOM Afghanistan,,4
29.6266426,52.4465474,1,2025.MMP1149,Southern Asia,01/04/2025,2025,April,1,0,1,0,1,0,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Shiraz County district, Fars province, Iran",IOM Afghanistan,,4
28.2200233,61.2114862,1,2025.MMP1150,Southern Asia,01/04/2025,2025,April,1,0,1,0,1,0,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Khash County district, Sistan_and_Baluchestan province, Iran",IOM Afghanistan,,4
27.7344555,62.2626627,1,2025.MMP1151,Southern Asia,01/04/2025,2025,April,1,0,1,0,1,0,Afghanistan,Southern Asia,Mixed or unknown,Iran (Islamic Republic of),Afghanistan to Iran,"Saravan County district, Sistan_and_Baluchestan province, Iran",IOM Afghanistan,,4
31.504524,-111.421415,1,2025.MMP1518,North America,01/04/2025,2025,April,1,0,1,,1,,Unknown,Latin America / Caribbean (P),Mixed or unknown,United States of America,US-Mexico border crossing,Unspecified location in the desert around  Arivaca Pima County Arizona USA,Pima County Office of the Medical Examiner,,5
32.85724176,13.44222392,1,2025.MMP0240,Mediterranean,01/05/2025,2025,May,1,0,1,,,,Unknown,Unknown,Drowning,Libya,Central Mediterranean,"Remains washed ashore at Tajoura, Libya","LRC Tripoli, IOM Libya",https://archive.ph/FgIzc,4
14.63837019,-92.17066509,1,2025.MMP0243,Central America,01/05/2025,2025,May,1,0,1,,1,,Unknown,Latin America / Caribbean (P),Violence,Mexico,,"Close to Rio Suchiate (transborder area between Guatemala and Mexico) in Ejido Jesus, Suchiate, Chiapas, Mexico",Diario del Sur,https://perma.cc/HC8U-T2UH,1
12.232292,43.398421,3,2025.MMP0795,Eastern Africa,01/05/2025,2025,May,1,2,3,1,0,0,Ethiopia,Eastern Africa,Drowning,Djibouti,Eastern Route to/from EHOA,"Gehere, Obock, Djibouti - EHOA-Yemen Crossing",IOM Djibouti,,4
11.962158,43.289544,1,2025.MMP0795,Eastern Africa,01/05/2025,2025,May,1,0,1,0,1,0,Ethiopia,Eastern Africa,Drowning,Djibouti,Eastern Route to/from EHOA,"Obock Hospital, Obock, Djibouti - EHOA-Yemen Crossing",Obock hospital via IOM Djibouti,,5
35.7218583,51.3346954,1,2025.MMP1272,Southern Asia,01/05/2025,2025,May,1,0,1,1,0,0,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Tehran district, Tehran province, Iran",IOM Afghanistan,,4
35.7218583,51.3346954,1,2025.MMP1273,Southern Asia,01/05/2025,2025,May,1,0,1,0,1,0,Afghanistan,Southern Asia,Accidental death,Iran (Islamic Republic of),Afghanistan to Iran,"Tehran district, Tehran province, Iran",IOM Afghanistan,,4
35.7218583,51.3346954,1,2025.MMP1274,Southern Asia,01/05/2025,2025,May,1,0,1,0,1,0,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Tehran district, Tehran province, Iran",IOM Afghanistan,,4
32.2515792,52.5318604,1,2025.MMP1275,Southern Asia,01/05/2025,2025,May,1,0,1,0,1,0,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Isfahan County district, Esfahan province, Iran",IOM Afghanistan,,4
32.2515792,52.5318604,1,2025.MMP1276,Southern Asia,01/05/2025,2025,May,1,0,1,0,1,1,Afghanistan,Southern Asia,Vehicle accident / death linked to hazardous transport,Iran (Islamic Republic of),Afghanistan to Iran,"Isfahan County district, Esfahan province, Iran",IOM Afghanistan,,4
33.4914976,52.5318604,1,2025.MMP1277,Southern Asia,01/05/2025,2025,May,1,0,1,0,1,1,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Ardestan County district, Esfahan province, Iran",IOM Afghanistan,,4
29.6266426,52.4465474,1,2025.MMP1278,Southern Asia,01/05/2025,2025,May,1,0,1,0,1,0,Afghanistan,Southern Asia,Drowning,Iran (Islamic Republic of),Afghanistan to Iran,"Shiraz County district, Fars province, Iran",IOM Afghanistan,,4
29.5580389,51.7677972,1,2025.MMP1279,Southern Asia,01/05/2025,2025,May,1,0,1,0,1,0,Afghanistan,Southern Asia,Accidental death,Iran (Islamic Republic of),Afghanistan to Iran,"Kazerun County district, Fars province, Iran",IOM Afghanistan,,4
32.2515792,52.5318604,1,2025.MMP1280,Southern Asia,01/05/2025,2025,May,1,0,1,0,1,0,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Isfahan County district, Esfahan province, Iran",IOM Afghanistan,,4
29.6266426,52.4465474,1,2025.MMP1281,Southern Asia,01/05/2025,2025,May,1,0,1,0,1,0,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Shiraz County district, Fars province, Iran",IOM Afghanistan,,4
30.5586331,55.9358581,1,2025.MMP1282,Southern Asia,01/05/2025,2025,May,1,0,1,0,1,0,Afghanistan,Southern Asia,Vehicle accident / death linked to hazardous transport,Iran (Islamic Republic of),Afghanistan to Iran,"Rafsanjan County district, Kerman province, Iran",IOM Afghanistan,,4
29.6266426,52.4465474,1,2025.MMP1283,Southern Asia,01/05/2025,2025,May,1,0,1,0,1,1,Afghanistan,Southern Asia,Violence,Iran (Islamic Republic of),Afghanistan to Iran,"Shiraz County district, Fars province, Iran",IOM Afghanistan,,4
29.6266426,52.4465474,1,2025.MMP1284,Southern Asia,01/05/2025,2025,May,1,0,1,0,1,0,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Shiraz County district, Fars province, Iran",IOM Afghanistan,,4
32.816845,12.388946,1,2025.MMP0682,Mediterranean,01/06/2025,2025,June,1,0,1,,,,Unknown,Unknown,Drowning,Libya,Central Mediterranean,"Unspecified location on the beach in Sabratha, Libya",Migrant Rescue Watch,https://perma.cc/2BQK-Q6P5,4
46.275966,15.865986,1,2025.MMP0684,Europe,01/06/2025,2025,June,1,0,1,,1,,TÃ¼rkiye,Western Asia,Mixed or unknown,Slovenia,Western Balkans,"Unspecified location in Zgornje GruÅ¡kovje, Slovenia","STA, 24ur.com","https://archive.ph/W43RT, https://archive.ph/iXbDm",3
32.958939,12.486332,1,2025.MMP0694,Mediterranean,01/06/2025,2025,June,1,0,1,,,,Unknown,Unknown,Drowning,Libya,Central Mediterranean,"Unspecified location off the coast of Sabratha, Libya",IOM Libya,,4
32.956751,13.161104,1,2025.MMP0695,Mediterranean,01/06/2025,2025,June,1,0,1,,,,Unknown,Unknown,Drowning,Libya,Central Mediterranean,"Unspecified location off the coast of Tripoli, Libya",IOM Libya,,4
38.794833,1.483117,1,2025.MMP0705,Mediterranean,01/06/2025,2025,June,1,0,1,,,,Unknown,Unknown,Drowning,Spain,Western Mediterranean,"Unspecified location, near Espardell Island, Formentera, Balearic Islands, Spain","La Razon, El Mundo, La voz de Ibiza, Ultima Hora","https://perma.cc/WS2D-QEQ6, https://perma.cc/5WZS-GP8V, https://perma.cc/88GP-RVEN, https://perma.cc/9CRM-DJRB",3
38.685056,1.451552,1,2025.MMP0706,Mediterranean,01/06/2025,2025,June,1,0,1,,,,Unknown,Unknown,Drowning,Spain,Western Mediterranean,"Unspecified location, Sant Francesc Beach, Formetera, Balearic Islands, Spain","La Razon, El Mundo, La voz de Ibiza, Ultima Hora","https://perma.cc/WS2D-QEQ6, https://perma.cc/5WZS-GP8V, https://perma.cc/88GP-RVEN, https://perma.cc/9CRM-DJRB",3
35.7218583,51.3346954,1,2025.MMP1402,Southern Asia,01/06/2025,2025,June,1,0,1,0,1,0,Afghanistan,Southern Asia,Mixed or unknown,Iran (Islamic Republic of),Afghanistan to Iran,"Tehran district, Tehran province, Iran",IOM Afghanistan,,4
